epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1112.84,0.90528,4.42111,1.30995,0.38758,0.21973,0.17067,0.13071,0.96859,3.20747,1.30992,0.00333316,0.00333316,0.00333316
2,2145.97,0.96059,3.4147,1.33098,0.45487,0.24511,0.21505,0.16451,0.95354,3.03497,1.30237,0.0063915,0.0063915,0.0063915
3,3152.63,1.00154,3.4077,1.34948,0.05385,0.4159,0.13891,0.10753,1.10022,4.26858,1.48598,0.00917484,0.00917484,0.00917484
4,4131.17,0.97327,3.27964,1.31536,0.0165,0.00064,0.00854,0.00773,1.64988,6.96673,2.20642,0.0087625,0.0087625,0.0087625
5,5113.32,0.92224,3.00826,1.27207,0.07939,0.02573,0.04677,0.03685,1.42755,6.28165,1.91087,0.00835,0.00835,0.00835
6,6113.17,0.89443,2.85507,1.2504,0.06141,0.3909,0.13162,0.10367,1.12645,4.42039,1.48491,0.0079375,0.0079375,0.0079375
7,7121.67,0.87967,2.76233,1.23864,0.53256,0.19563,0.22876,0.18037,0.97289,3.32161,1.30004,0.007525,0.007525,0.007525
8,8132.71,0.86954,2.68817,1.23071,0.48486,0.2832,0.291,0.23056,0.91131,2.80781,1.22746,0.0071125,0.0071125,0.0071125
9,9143.56,0.85978,2.62624,1.22372,0.4688,0.32396,0.32694,0.2598,0.883,2.54464,1.19578,0.0067,0.0067,0.0067
10,10154.9,0.85031,2.5739,1.21736,0.46661,0.34901,0.35027,0.27848,0.8682,2.39599,1.17972,0.0062875,0.0062875,0.0062875
11,11167.8,0.84341,2.5275,1.21347,0.47076,0.36504,0.36753,0.2929,0.85882,2.29901,1.16949,0.005875,0.005875,0.005875
12,12178.7,0.83437,2.47805,1.207,0.46905,0.37946,0.38062,0.30381,0.85311,2.23445,1.1636,0.0054625,0.0054625,0.0054625
13,13183.8,0.82659,2.4353,1.20242,0.47109,0.39178,0.39152,0.31307,0.84802,2.18775,1.1583,0.00505,0.00505,0.00505
14,14189.1,0.81802,2.38526,1.19643,0.47801,0.39949,0.40157,0.32138,0.84433,2.14623,1.15422,0.0046375,0.0046375,0.0046375
15,15197.1,0.76325,2.032,1.18704,0.47881,0.4068,0.40944,0.32875,0.83541,2.11671,1.14696,0.004225,0.004225,0.004225
16,16202.4,0.74474,1.95571,1.17246,0.4832,0.41318,0.41732,0.33583,0.82971,2.0955,1.14267,0.0038125,0.0038125,0.0038125
17,17207.1,0.72983,1.88959,1.16086,0.48572,0.42091,0.42464,0.34264,0.82481,2.07448,1.1388,0.0034,0.0034,0.0034
18,18210.7,0.71406,1.81761,1.14833,0.492,0.42681,0.43128,0.34879,0.82032,2.05453,1.13484,0.0029875,0.0029875,0.0029875
19,19214.2,0.69758,1.7427,1.13553,0.49827,0.43355,0.43847,0.3552,0.81597,2.02984,1.12992,0.002575,0.002575,0.002575
20,20217.8,0.68035,1.66604,1.12317,0.50713,0.43942,0.44601,0.36204,0.81243,2.00459,1.12524,0.0021625,0.0021625,0.0021625
21,21222.1,0.66311,1.57969,1.10916,0.51292,0.44628,0.453,0.36827,0.80897,1.97901,1.12114,0.00175,0.00175,0.00175
22,22224.2,0.64326,1.48752,1.09576,0.5237,0.44994,0.45968,0.37421,0.80642,1.95716,1.11758,0.0013375,0.0013375,0.0013375
23,23228.3,0.62264,1.39295,1.08162,0.53229,0.45441,0.46648,0.37996,0.8038,1.93415,1.1142,0.000925,0.000925,0.000925
24,24234.5,0.60223,1.29842,1.06783,0.53467,0.46121,0.47182,0.38484,0.80167,1.91288,1.11146,0.0005125,0.0005125,0.0005125
